id,value,feed_id,created_at,lat,lon,ele
0G1D8FME8EFZT7WM7NWKGZE3EE,-65,3243843,2025-11-25 13:55:26 UTC,,,
0G1D8FNAN3RYBQAGMDPT31M803,-65,3243843,2025-11-25 13:55:28 UTC,,,
0G1D8FQ52GZ49TKS7GY2YDGMBR,-53,3243843,2025-11-25 13:55:34 UTC,,,
0G1D8FR378QDCKEY9PSMEW56SN,-52,3243843,2025-11-25 13:55:38 UTC,,,
0G1D8FS0FZ98ZF49HQHJXQBTS0,-53,3243843,2025-11-25 13:55:41 UTC,,,
0G1D8FSX2KERQWBH1MNTGEP4YW,-58,3243843,2025-11-25 13:55:43 UTC,,,
0G1D8FTT8G39HK9E9GDKFTMSK2,-54,3243843,2025-11-25 13:55:46 UTC,,,
0G1D8FXJPFT8EKKM5K9SGVA277,-74,3243843,2025-11-25 13:55:56 UTC,,,
0G1D8FYFP2TBN286X9AX5AMTBB,-62,3243843,2025-11-25 13:55:58 UTC,,,
0G1D8FZDA4TYP44ND47ES1JGDJ,-65,3243843,2025-11-25 13:56:02 UTC,,,
0G1D8G0A3YV5VB0PDPQWNN0636,-60,3243843,2025-11-25 13:56:04 UTC,,,
0G1D8G1939PY8R6G47ST2PZ4S3,-61,3243843,2025-11-25 13:56:08 UTC,,,
0G1D8G32WRY5PSED0A28318XHD,-65,3243843,2025-11-25 13:56:14 UTC,,,
0G1D8G3ZBB05DSJJZZTHY8MSVY,-71,3243843,2025-11-25 13:56:16 UTC,,,
0G1D8G4WN1NCD9SGV1V0H8RGJH,-68,3243843,2025-11-25 13:56:19 UTC,,,
0G1D8G5T0EGQPSP9309GSR3EB4,-59,3243843,2025-11-25 13:56:22 UTC,,,
0G1D8G7MQ1XFJKV4BFXZXRQBN7,-64,3243843,2025-11-25 13:56:28 UTC,,,
0G1D8G8JDD3DJ38M9QJFMVTNQ4,-71,3243843,2025-11-25 13:56:32 UTC,,,
0G1D8G9F552JBTRCGQYXS6KQAB,-80,3243843,2025-11-25 13:56:34 UTC,,,
0G1D8GACGYVT0BJZSVSK3XVWWC,-67,3243843,2025-11-25 13:56:37 UTC,,,
0G1D8GBDHNJWDTBHECJDWKAEHZ,-60,3243843,2025-11-25 13:56:41 UTC,,,
0G1D8GXN5A1KZ6Q7GPH0SF48E6,-70,3243843,2025-11-25 13:57:41 UTC,,,
0G1D8GZG4DHNR99A0WX136ENT8,-68,3243843,2025-11-25 13:57:47 UTC,,,
0G1D8H0P2M2P73DWK5JGGXJ6MG,-67,3243843,2025-11-25 13:57:51 UTC,,,
0G1D8H1J5W792YJA3V9JRJ9DPJ,-65,3243843,2025-11-25 13:57:53 UTC,,,
